'sequences'   'words'

'art           d'art
'Bri           O'Brien
'clo           o'clock
'Del           O'Dell
'Don           O'Donnell
'Dwy           O'Dwyer
'eta           d'etat
'Har           O'Hare
'Lea           O'Leary
'Nei           O'Neill
'oei           l'oeil
'oeu           d'oeuvre
'She           O'Shea
'Sul           O'Sullivan
'vov           L'vov
.S.A           U.S.A
10th           10th
AAAS           AAAS
AACP           NAACP
aacs           Isaacson
aals           Waals
Aarh           Aarhus
Aaro           Aaron
Abab           Ababa
abag           rutabaga
abao           carabao
Abbo           Abbott
abbo           abbot
abco           Babcock
abdi           abdicate
abdr           cabdriver
abdu           abduct
abea           habeas
abed           abed
abes           arabesque
abib           Habib
Abid           Abidjan
abie           rabies
abif           syllabify
Abig           Abigail
abio           scabious
abje           abject
ablu           ablution
abme           crabmeat
Abne           Abner
abno           abnormal
abru           abrupt
absi           absinthe
absu           absurd
abui           abuilding
abuk           Kabuki
abun           abundant
abye           rockabye
abyh           babyhood
abyr           labyrinth
Abys           Abyssinia
Acad           Acadia
acao           cacao
Acap           Acapulco
acaq           macaque
acar           teacart
acAr           MacArthur
acbe           Macbeth
Accr           Accra
aceb           placebo
acec           spacecraft
aceh           placeholder
aceu           pharmaceutic
acGr           MacGregor
achc           beachcomb
achh           beachhead
Achi           Achilles
achw           coachwork
achy           preachy
acKe           MacKenzie
Acke           Ackerman
ackh           backhand
ackj           blackjack
ackk           jackknife
Ackl           Ackley
ackt           backtrack
acku           backup
acli           Heraclitus
acme           acme
acMi           MacMillan
acno           anthracnose
acoa           seacoast
acoc           peacock
acod           ostracod
acsi           facsimile
acso           Isaacson
Acta           Actaeon
actf           tactful
Acto           Acton
actr           actress
Acts           Acts
acud           barracuda
acui           acuity
acum           acumen
acup           teacup
acur           extracurricular
acut           acute
acuu           vacuum
adab           Ahmadabad
adac           headache
Adai           Adair
adan           sladang
adar           radar
adba           threadbare
adbe           roadbed
adbl           roadblock
adcl           Radcliffe
adda           Haddad
Addr           Addressograph
addu           adduce
adec           hexadecimal
adee           chickadee
adei           Madeira
Aden           Aden
adep           adept
adeu           Amadeus
adfa           steadfast
adfo           Bradford
adfr           breadfruit
adfu           dreadful
adii           radii
adim           Vladimir
adip           adipic
adir           nadir
Adir           Adirondack
adiv           Vladivostok
adix           radix
adja           adjacent
Adki           Adkins
Adle           Adler
adme           madmen
adn'           hadn't
adne           Ariadne
adno           dreadnought
adob           adobe
Adon           Adonis
ados           Barbados
adot           polkadot
adph           headphone
adsh           Bradshaw
adsw           Wadsworth
adth           breadth
aduc           viaduct
aduz           Vaduz
adwo           deadwood
adyf           ladyfern
adyl           ladylike
adys           Gladys
aeci           algaecide
aeco           praecox
aeda           Daedalus
aefe           Schaefer
Aege           Aegean
aege           Jaeger
aegi           aegis
aela           Michaelangelo
aels           Maelstrom
Aeol           Aeolus
aeol           aeolian
aeon           Actaeon
aera           aerate
aeri           aerial
Aero           Aerobacter
aery           faery
aesa           Caesar
Aesc           Aeschylus
aesq           Kafkaesque
afae           Rafael
afay           Lafayette
afeg           safeguard
afek           safekeeping
afen           deafen
afia           Mafia
afic           aficionado
afie           afield
afir           afire
afla           aflame
afle           leaflet
aflo           afloat
afou           afoul
afow           peafowl
afre           afresh
Afri           Africa
afro           afro
afso           Gustafson
agab           vagabond
agad           Ouagadougou
Agam           Agamemnon
Agat           Agatha
agav           agave
agaz           magazine
agba           shagbark
agda           Magdalene
ageb           sagebrush
agec           stagecoach
Agee           Agee
agem           stratagem
aget           suffragette
agew           passageway
agey           cagey
aghd           Baghdad
agie           hoagie
agla           Hoagland
agli           seraglio
agly           anaglyph
agmi           quagmire
agoa           Chicagoan
agoc           phagocyte
agod           pagoda
agoy           Nagoya
agpo           flagpole
Agri           Agricola
agru           Magruder
Agwa           Agway
agwe           ragweed
agwr           gagwriter
ahar           Sahara
ahas           Tallahassee
ahea           ahead
ahei           Anaheim
ahel           Monongahela
ahem           ahem
ahen           subtrahend
ahey           Fahey
ahit           Tahiti
ahli           dahlia
ahlu           bremsstrahlung
ahma           Brahmaputra
Ahma           Ahmadabad
Ahme           Ahmedabad
ahoe           Tahoe
ahoo           cahoot
ahou           teahouse
ahoy           ahoy
ahue           Donahue
aiad           naiad
aiah           Isaiah
aica           Jamaica
Aida           Aida
Aide           Aides
aidl           Laidlaw
aids           maidservant
aier           Maier
aiet           gaiety
aifa           Haifa
aigo           Saigon
aiia           Hawaiian
aija           Azerbaijan
Aike           Aiken
aiku           haiku
Aile           Aileen
ailf           sailfish
ailg           tailgate
aili           bailiff
ailr           railroad
ailt           frailty
ailu           failure
aime           Jaime
aiml           Daimler
ain'           ain't
ainb           rainbow
aing           vainglorious
ainh           fountainhead
Ainu           Ainu
aipe           Taipei
aips           traipse
airb           airborne
Aire           Aires
airg           fairgoer
airi           prairie
airn           cairn
airt           airtight
airv           clairvoyant
aisl           aisle
aisy           daisy
aite           Waite
Aitk           Aitken
aitu           portraiture
aity           laity
aiwa           Taiwan
ajah           rajah
Ajax           Ajax
ajec           trajectory
ajol           cajole
ajor           major
ajou           Lissajous
akat           Krakatoa
akaw           breakaway
akay           Nakayama
akch           Nouakchott
akdo           breakdown
akeb           snakebird
akeh           Lakehurst
akem           brakeman
Aker           Akers
akfa           breakfast
akht           Bakhtiari
akim           Yakima
akle           Oakley
akof           breakoff
akot           Dakota
akow           Krakow
akpo           breakpoint
akro           cloakroom
Akro           Akron
akry           Conakry
akth           breakthrough
akup           breakup
akwa           breakwater
akyu           Kitakyushu
alaa           Salaam
alag           Malagasy
Alan           Alan
Alas           Alaska
alau           baccalaureate
alaw           Malawi
alax           galaxy
albo           Balboa
albr           Galbreath
Albu           Albuquerque
alce           chalcedony
Alce           Alcestis
alch           alchemy
Alcm           Alcmena
aldp           baldpate
Aldr           Aldrich
alds           Donaldson
aldy           baldy
alea           azalea
aleb           Caleb
alee           baleen
aleg           extralegal
aleu           valeur
alev           malevolent
alez           Gonzalez
alfb           halfback
alfe           malfeasant
alfh           halfhearted
Alfo           Alfonso
alfs           calfskin
alfu           malfunction
alfw           halfway
Algi           Algiers
algr           Walgreen
Alha           Alhambra
alik           alike
alil           Galilee
alim           alimony
aliq           aliquot
aliz           alizarin
alkb           chalkboard
alkl           chalkline
alkw           walkway
allf           ballfield
allm           hallmark
allr           ballroom
Alls           Allstate
allt           smalltime
allw           hallway
Ally           Allyn
Alma           Almaden
alno           malnourished
aloe           aloe
alof           aloft
aloh           aloha
alop           jalopy
alow           bungalow
Alpe           Alpert
alpr           malpractice
Alps           Alps
alpy           enthalpy
alra           Malraux
alre           already
alro           chivalrous
alru           walrus
Alsa           Alsatian
alsh           Walsh
alsk           Kowalski
also           also
Also           Alsop
alsy           palsy
Alta           Altair
altb           saltbush
Alto           Alton
altw           saltwater
alub           salubrious
alun           alundum
alup           dialup
Alvi           Alvin
alvo           salvo
alyz           cryptanalyze
alza           Balzac
alze           Dalzell
amab           Islamabad
Amad           Amadeus
amad           Ramada
amah           Yamaha
amai           Jamaica
Amar           Amarillo
Amaz           Amazon
ambd           lambda
amch           Kamchatka
amde           Camden
amea           nameable
amec           gamecock
Amel           Amelia
amem           Agamemnon
ameo           cameo
amep           nameplate
amey           Niamey
amfe           chamfer
amfl           foamflower
amfo           Stamford
Amhe           Amherst
amie           Laramie
amif           ramify
amig           amigo
amik           kamikaze
amiu           ceramium
amle           hamlet
Amma           Amman
Amme           Ammerman
ammu           ammunition
amna           damnation
amne           amnesia
amoa           Samoa
Amoc           Amoco
amoi           chamois
amok           amok
amol           intramolecular
Amos           Amos
amot           bergamot
amov           samovar
Ampe           Ampex
ampf           campfire
ampg           campground
ampr           lamprey
ampy           swampy
amra           amra
amsb           Williamsburg
amsh           clamshell
amsi           streamside
Amst           Amsterdam
amto           Binghamton
Amtr           Amtrak
amul           amulet
amur           extramural
amut           gamut
amwa           tramway
amwo           teamwork
amyc           terramycin
amyg           amygdaloid
anaa           Canaan
anab           Watanabe
anae           anaerobic
Anah           Anaheim
anak           Tanaka
anao           Mindanao
Anas           Anastasia
Anat           Anatole
anav           Canaveral
anbo           Sanborn
anck           Planck
andd           granddaughter
andk           handkerchief
Andy           Andy
aneb           baneberry
anee           sloganeer
anef           baneful
anem           anemone
aner           chicanery
aneu           maneuver
anew           anew
anfa           fanfare
anfi           Canfield
anfr           Manfred
angh           Shanghai
Angi           Angie
angk           bangkok
angp           gangplank
angr           angry
Angu           Angus
angw           gangway
Anhe           Anheuser
anhe           Sanhedrin
anig           shenanigan
anik           manikin
Anit           Anita
anja           panjandrum
anjo           banjo
Anka           Ankara
ankc           crankcase
anlo           Hanlon
Anni           Annie
anoe           canoe
anoo           Chattanooga
anpo           manpower
anry           yeomanry
ANSI           ANSI
ansk           Sanskrit
answ           answer
Anth           Anthony
Antw           Antwerp
antz           Schantz
anuf           manufacture
anuk           Hanukkah
anup           cleanup
anur           manure
anut           peanut
anwh           meanwhile
anya           Tanya
anyh           anyhow
anyl           uranyl
anym           Ganymede
anyp           anyplace
anyt           anything
anze           chimpanzee
aoco           Laocoon
aois           Taoist
aomi           Naomi
aord           extraordinary
aori           Maori
aort           aorta
aoul           Raoul
aoun           Yaounde
apad           escapade
apag           Galapagos
apal           papal
apaw           papaw
apba           snapback
apdr           snapdragon
apea           Chesapeake
apee           escapee
apef           grapefruit
apeg           scapegoat
apen           misshapen
apev           grapevine
apew           tapeworm
apex           apex
apey           Clapeyron
apfr           leapfrog
aphn           Daphne
Aphr           Aphrodite
apic           apices
apki           napkin
apma           Chapman
apne           shrapnel
Apoc           Apocrypha
apog           apogee
apok           kapok
apoo           papoose
Appa           Appalachia
apph           sapphire
Appi           Appian
apps           schnapps
Apri           April
apsa           knapsack
apsb           Hapsburg
apsh           snapshot
apsy           parapsychology
apte           chapter
apto           captor
apua           Papua
apup           wrapup
apyb           capybara
Aqua           Aquarius
Arac           Arachne
araf           paraffin
arah           Sarah
arai           Valparaiso
arak           parakeet
arao           pharaoh
arau           maraud
arav           caravan
araw           caraway
arax           paraxial
arby           nearby
Arca           Arcadia
Arct           Arcturus
arcu           Marcus
arcy           Marcy
ardc           hardcopy
Arde           Arden
ardl           niggardly
ardn           Gardner
ardu           arduous
areg           paregoric
Areq           Arequipa
arer           Shearer
Ares           Ares
arey           Carey
arez           Alvarez
arfe           farfetched
arfl           barfly
arfr           hoarfrost
Arge           Argentina
Argi           Argive
argl           gargle
Argu           Argus
argy           lethargy
arha           arhat
arhu           Aarhus
Arie           Aries
arig           marigold
arij           marijuana
ariv           Tananarive
ariw           contrariwise
Ariz           Arizona
arka           Farkas
arkh           Markham
arkm           Sparkman
arkw           parkway
arky           sparky
Arli           Arlington
arlt           Carlton
armc           armchair
Armc           Armco
armp           armpit
Arms           Armstrong
armt           warmth
army           army
arnh           Barnhard
Arno           Arnold
arny           barnyard
arob           carob
aroc           parochial
arod           parody
aroi           Polaroid
arop           phalarope
aroq           baroque
aror           Tuscarora
aros           arose
arph           earphone
arpl           warplane
arpr           burglarproof
arpy           Harpy
Arra           Arragon
Arrh           Arrhenius
arsd           Scarsdale
arsl           parsley
arsn           parsnip
arsu           marsupial
Arte           Artemis
Arti           Artie
artn           partner
Artu           Arturo
Arub           Aruba
arum           arum
arwa           Clearwater
aryb           Charybdis
aryc           barycentric
arza           Tarzan
arzi           bilharziasis
asad           Pasadena
asak           Nagasaki
asar           quasar
asbe           asbestos
asch           paschal
asec           vasectomy
aseh           leasehold
asei           casein
asew           casework
asex           asexual
asey           Casey
asgo           Glasgow
ashf           bashful
ashl           flashlight
Ashm           Ashmolean
asht           ashtray
ashu           Nashua
ashv           Nashville
asif           gasify
Asil           Asilomar
asiu           gymnasium
asiz           deemphasize
askm           taskmaster
asli           gaslight
asmi           protoplasmic
asoh           gasohol
asop           basophilic
asot           Sarasota
aspb           raspberry
aspl           asplenium
Assa           Assam
assb           passband
assp           passport
assr           classroom
Asta           Astarte
astb           eastbound
astf           boastful
ASTM           ASTM
astp           breastplate
Asun           Asuncion
asun           asunder
aswe           Glaswegian
asyg           easygoing
asyl           asylum
aszl           Laszlo
AT&T           AT&T
at'l           that'll
at'r           what're
Atal           Atalanta
atap           catapult
atba           sweatband
atbe           flatbed
atbi           catbird
atca           catcall
Atch           Atchison
atco           greatcoat
ated           antiquated
atek           gatekeep
ateo           Mateo
atep           ratepayer
atet           peripatetic
atev           whatever
atex           latex
Atha           Athabascan
athb           deathbed
athk           Heathkit
aths           loathsome
